Year,Short Title,Act No,URL
1925,"The Succession Act, 1925",XXXIX,http://bdlaws.minlaw.gov.bd/act-print-138.html
1926,"The Naturalization Act, 1926",VII,http://bdlaws.minlaw.gov.bd/act-print-139.html
1926,"The Contempt of Courts Act, 1926  [Repealed]",XII,http://bdlaws.minlaw.gov.bd/act-print-140.html
1926,"The Cotton Industry (Statistics) Act, 1926",XX,http://bdlaws.minlaw.gov.bd/act-print-141.html
1926,"The Legal Practitioners (Fees) Act, 1926",XXI,http://bdlaws.minlaw.gov.bd/act-print-142.html
1927,"The Vehicles Act, 1927",I,http://bdlaws.minlaw.gov.bd/act-print-143.html
1927,"The Forest Act, 1927",XVI,http://bdlaws.minlaw.gov.bd/act-print-144.html
1927,"The Lighthouse Act, 1927  [Repealed]",XVII,http://bdlaws.minlaw.gov.bd/act-print-145.html
1928,"The Borstal Schools Act, 1928",I,http://bdlaws.minlaw.gov.bd/act-print-146.html
1928,"The Hindu Inheritance (Removal of Disabilities) Act, 1928",XII,http://bdlaws.minlaw.gov.bd/act-print-147.html
1929,"The Hindu Law of Inheritance (Amendment) Act, 1929",II,http://bdlaws.minlaw.gov.bd/act-print-148.html
1929,"The Child Marriage Restraint Act, 1929  [Repealed]",XIX,http://bdlaws.minlaw.gov.bd/act-print-149.html
1930,"The Sale of Goods Act, 1930",III,http://bdlaws.minlaw.gov.bd/act-print-150.html
1930,"The Lac Cess Act, 1930",XXIV,http://bdlaws.minlaw.gov.bd/act-print-151.html
1930,"The Hindu Gains of Learning Act, 1930",XXX,http://bdlaws.minlaw.gov.bd/act-print-152.html
1930,"The Mussalman Wakf Validating Act, 1930",XXXII,http://bdlaws.minlaw.gov.bd/act-print-153.html
1931,"The State Aid to Industries Act, 1931",III,http://bdlaws.minlaw.gov.bd/act-print-154.html
1931,"The Provisional Collection of Taxes Act, 1931",XVI,http://bdlaws.minlaw.gov.bd/act-print-155.html
1932,"The Motor Vehicles Tax Act, 1932",I,http://bdlaws.minlaw.gov.bd/act-print-156.html
1932,"The Partnership Act, 1932",IX,http://bdlaws.minlaw.gov.bd/act-print-157.html
1932,"The Foreign Relations Act, 1932",XII,http://bdlaws.minlaw.gov.bd/act-print-158.html
1933,"The Suppression of Immoral Traffic Act, 1933  [Repealed]",VI,http://bdlaws.minlaw.gov.bd/act-print-159.html
1933,"The Money-Lenders Act, 1933",VII,http://bdlaws.minlaw.gov.bd/act-print-160.html
1933,"The Places of Public Amusement Act, 1933",X,http://bdlaws.minlaw.gov.bd/act-print-161.html
1933,"The Wireless Telegraphy Act, 1933",XVII,http://bdlaws.minlaw.gov.bd/act-print-162.html
1934,"The Smuggling of Arms Act, 1934",VI,http://bdlaws.minlaw.gov.bd/act-print-163.html
1934,"The Sugar-Cane Act, 1934",XV,http://bdlaws.minlaw.gov.bd/act-print-164.html
1934,"The Carriage By Air Act, 1934",XX,http://bdlaws.minlaw.gov.bd/act-print-165.html
1934,"The Petroleum Act, 1934  [Repealed]",XXX,http://bdlaws.minlaw.gov.bd/act-print-166.html
1935,"The Development Act, 1935",XVI,http://bdlaws.minlaw.gov.bd/act-print-167.html
1936,"The Parsi Marriage and Divorce Act, 1936",III,http://bdlaws.minlaw.gov.bd/act-print-168.html
1936,"The Agricultural Debtors Act, 1935",VII,http://bdlaws.minlaw.gov.bd/act-print-169.html
1936,"The Geneva Convention Implementing Act, 1936",XIV,http://bdlaws.minlaw.gov.bd/act-print-1442.html
